DATE,PM2.5
17-01-2022,155
18-01-2022,160
19-01-2022,165
20-01-2022,133
21-01-2022,114
22-01-2022,96
23-01-2022,203
24-01-2022,165
25-01-2022,171
26-01-2022,166
27-01-2022,160
28-01-2022,142
29-01-2022,145
30-01-2022,159
31-01-2022,168
01-02-2022,157
02-02-2022,169
03-02-2022,135
04-02-2022,143
05-02-2022,164
06-02-2022,163
07-02-2022,127
08-02-2022,90
09-02-2022,115
10-02-2022,156
11-02-2022,133
12-02-2022,143
13-02-2022,157
14-02-2022,132
15-02-2022,92
16-02-2022,89
17-02-2022,104
18-02-2022,124
19-02-2022,153
20-02-2022,139
21-02-2022,154
22-02-2022,131
23-02-2022,135
24-02-2022,159
25-02-2022,166
26-02-2022,149
27-02-2022,152
28-02-2022,163
01-03-2022,160
02-03-2022,166
03-03-2022,164
04-03-2022,133
05-03-2022,156
06-03-2022,160
07-03-2022,160
08-03-2022,162
09-03-2022,163
10-03-2022,163
11-03-2022,161
12-03-2022,133
13-03-2022,134
14-03-2022,136
15-03-2022,156
16-03-2022,142
17-03-2022,150
18-03-2022,146
19-03-2022,100
20-03-2022,94
21-03-2022,126
22-03-2022,137
23-03-2022,131
24-03-2022,146
25-03-2022,96
26-03-2022,88
27-03-2022,92
28-03-2022,102
29-03-2022,114
30-03-2022,103
31-03-2022,106
01-10-2021,63
02-10-2021,78
03-10-2021,88
04-10-2021,97
05-10-2021,83
06-10-2021,85
07-10-2021,85
08-10-2021,58
09-10-2021,50
10-10-2021,62
11-10-2021,92
12-10-2021,105
13-10-2021,127
14-10-2021,150
15-10-2021,137
16-10-2021,124
17-10-2021,136
18-10-2021,74
19-10-2021,82
20-10-2021,88
21-10-2021,126
22-10-2021,138
23-10-2021,106
24-10-2021,67
25-10-2021,69
26-10-2021,129
27-10-2021,131
28-10-2021,142
29-10-2021,120
30-10-2021,122
31-10-2021,151
01-11-2021,164
02-11-2021,163
03-11-2021,152
04-11-2021,165
05-11-2021,157
06-11-2021,130
07-11-2021,135
08-11-2021,157
09-11-2021,155
10-11-2021,153
11-11-2021,159
12-11-2021,157
13-11-2021,165
14-11-2021,164
15-11-2021,170
16-11-2021,166
17-11-2021,124
18-11-2021,90
19-11-2021,109
20-11-2021,124
21-11-2021,59
22-11-2021,71
23-11-2021,84
24-11-2021,141
25-11-2021,152
26-11-2021,154
27-11-2021,157
28-11-2021,149
29-11-2021,152
30-11-2021,159
01-12-2021,148
02-12-2021,121
03-12-2021,131
04-12-2021,131
05-12-2021,126
06-12-2021,144
07-12-2021,172
08-12-2021,172
09-12-2021,170
10-12-2021,167
11-12-2021,160
12-12-2021,164
13-12-2021,154
14-12-2021,154
15-12-2021,173
16-12-2021,183
17-12-2021,181
18-12-2021,179
19-12-2021,171
20-12-2021,172
21-12-2021,174
22-12-2021,176
23-12-2021,175
24-12-2021,129
25-12-2021,142
26-12-2021,169
27-12-2021,170
28-12-2021,166
29-12-2021,140
30-12-2021,159
31-12-2021,159
01-01-2022,154
02-01-2022,158
01-07-2021,48
02-07-2021,47
03-07-2021,50
04-07-2021,51
05-07-2021,58
06-07-2021,58
07-07-2021,59
08-07-2021,60
09-07-2021,60
10-07-2021,58
11-07-2021,36
12-07-2021,37
13-07-2021,48
14-07-2021,40
15-07-2021,37
16-07-2021,35
17-07-2021,30
18-07-2021,41
19-07-2021,44
20-07-2021,49
21-07-2021,42
22-07-2021,55
23-07-2021,55
24-07-2021,50
25-07-2021,53
26-07-2021,58
27-07-2021,48
28-07-2021,47
29-07-2021,50
30-07-2021,50
31-07-2021,48
01-08-2021,44
02-08-2021,42
03-08-2021,39
04-08-2021,46
05-08-2021,51
06-08-2021,56
07-08-2021,58
08-08-2021,57
09-08-2021,60
10-08-2021,53
11-08-2021,48
12-08-2021,59
13-08-2021,49
14-08-2021,43
15-08-2021,54
16-08-2021,69
17-08-2021,59
18-08-2021,56
19-08-2021,51
20-08-2021,51
21-08-2021,40
22-08-2021,58
23-08-2021,53
24-08-2021,47
25-08-2021,43
26-08-2021,39
27-08-2021,50
28-08-2021,60
29-08-2021,55
30-08-2021,64
31-08-2021,55
01-09-2021,45
02-09-2021,43
03-09-2021,46
04-09-2021,49
05-09-2021,63
06-09-2021,49
07-09-2021,55
08-09-2021,36
09-09-2021,36
10-09-2021,35
11-09-2021,31
12-09-2021,35
13-09-2021,46
14-09-2021,63
15-09-2021,61
16-09-2021,60
17-09-2021,56
18-09-2021,50
19-09-2021,45
20-09-2021,46
21-09-2021,36
22-09-2021,46
23-09-2021,69
24-09-2021,63
25-09-2021,61
26-09-2021,64
27-09-2021,62
28-09-2021,54
29-09-2021,36
30-09-2021,60
01-04-2021,111
