DATE,PM2.5
15-12-2022,228
16-12-2022,199
17-12-2022,255
18-12-2022,298
19-12-2022,269
20-12-2022,279
21-12-2022,307
22-12-2022,305
23-12-2022,266
24-12-2022,269
25-12-2022,198
26-12-2022,160
27-12-2022,172
28-12-2022,238
30-12-2022,336
31-12-2022,275
01-01-2023,265
11-07-2022,42
12-07-2022,43
13-07-2022,40
14-07-2022,39
15-07-2022,42
16-07-2022,46
17-07-2022,35
18-07-2022,50
19-07-2022,65
20-07-2022,72
21-07-2022,73
22-07-2022,57
23-07-2022,47
24-07-2022,48
25-07-2022,55
26-07-2022,49
28-07-2022,68
29-07-2022,65
30-07-2022,59
31-07-2022,75
01-08-2022,92
02-08-2022,106
03-08-2022,79
04-08-2022,62
05-08-2022,40
06-08-2022,41
07-08-2022,35
08-08-2022,34
09-08-2022,31
10-08-2022,40
11-08-2022,54
12-08-2022,79
13-08-2022,64
14-08-2022,32
15-08-2022,51
16-08-2022,93
17-08-2022,109
18-08-2022,125
19-08-2022,59
20-08-2022,45
21-08-2022,72
22-08-2022,90
23-08-2022,90
24-08-2022,71
25-08-2022,76
26-08-2022,97
27-08-2022,101
28-08-2022,74
29-08-2022,65
30-08-2022,58
31-08-2022,45
01-09-2022,38
02-09-2022,42
03-09-2022,57
04-09-2022,90
06-09-2022,124
07-09-2022,90
08-09-2022,49
09-09-2022,73
10-09-2022,35
11-09-2022,27
12-09-2022,34
13-09-2022,45
14-09-2022,63
15-09-2022,83
16-09-2022,77
17-09-2022,100
18-09-2022,95
19-09-2022,54
20-09-2022,43
21-09-2022,61
22-09-2022,68
23-09-2022,80
24-09-2022,77
26-09-2022,86
27-09-2022,100
28-09-2022,115
29-09-2022,138
30-09-2022,136
01-04-2022,112
02-04-2022,85
03-04-2022,84
04-04-2022,75
05-04-2022,82
06-04-2022,87
07-04-2022,94
08-04-2022,83
09-04-2022,57
10-04-2022,62
11-04-2022,66
12-04-2022,74
13-04-2022,61
14-04-2022,75
15-04-2022,108
16-04-2022,88
17-04-2022,76
20-04-2022,61
21-04-2022,58
22-04-2022,72
26-04-2022,113
27-04-2022,100
28-04-2022,103
29-04-2022,105
30-04-2022,95
01-05-2022,91
02-05-2022,79
03-05-2022,73
04-05-2022,83
05-05-2022,96
06-05-2022,112
07-05-2022,109
08-05-2022,96
09-05-2022,43
10-05-2022,61
11-05-2022,84
12-05-2022,93
13-05-2022,100
14-05-2022,77
15-05-2022,71
17-05-2022,62
18-05-2022,58
19-05-2022,66
20-05-2022,65
21-05-2022,84
22-05-2022,112
23-05-2022,120
24-05-2022,91
25-05-2022,97
26-05-2022,106
31-05-2022,117
01-06-2022,120
02-06-2022,103
03-06-2022,107
04-06-2022,102
05-06-2022,92
06-06-2022,92
07-06-2022,91
08-06-2022,112
09-06-2022,101
10-06-2022,93
11-06-2022,97
12-06-2022,92
13-06-2022,87
14-06-2022,76
03-01-2022,206
04-01-2022,244
05-01-2022,264
06-01-2022,252
07-01-2022,249
08-01-2022,206
09-01-2022,207
10-01-2022,220
11-01-2022,211
12-01-2022,151
13-01-2022,171
14-01-2022,168
15-01-2022,178
16-01-2022,183
17-01-2022,200
18-01-2022,213
19-01-2022,236
20-01-2022,256
21-01-2022,276
22-01-2022,200
23-01-2022,252
24-01-2022,195
25-01-2022,204
26-01-2022,200
27-01-2022,194
28-01-2022,193
29-01-2022,206
30-01-2022,240
31-01-2022,191
01-02-2022,173
02-02-2022,176
03-02-2022,145
04-02-2022,103
05-02-2022,159
06-02-2022,162
07-02-2022,166
08-02-2022,179
09-02-2022,180
10-02-2022,181
11-02-2022,202
12-02-2022,165
13-02-2022,167
14-02-2022,182
15-02-2022,218
16-02-2022,207
25-02-2022,177
26-02-2022,230
27-02-2022,188
28-02-2022,161
01-03-2022,175
02-03-2022,177
03-03-2022,193
04-03-2022,207
05-03-2022,186
06-03-2022,168
07-03-2022,182
08-03-2022,183
09-03-2022,191
10-03-2022,212
24-03-2022,129
25-03-2022,131
26-03-2022,120
27-03-2022,141
28-03-2022,143
29-03-2022,140
30-03-2022,111
31-03-2022,104
01-10-2021,28
02-10-2021,36
03-10-2021,44
04-10-2021,71
05-10-2021,69
06-10-2021,72
07-10-2021,95
08-10-2021,137
09-10-2021,157
10-10-2021,148
11-10-2021,161
12-10-2021,162
13-10-2021,161
14-10-2021,83
15-10-2021,93
16-10-2021,44
17-10-2021,26
18-10-2021,31
19-10-2021,28
20-10-2021,73
21-10-2021,141
22-10-2021,145
23-10-2021,174
24-10-2021,166
25-10-2021,171
26-10-2021,168
27-10-2021,149
28-10-2021,157
29-10-2021,155
30-10-2021,153
31-10-2021,162
01-11-2021,169
02-11-2021,164
03-11-2021,157
04-11-2021,206
05-11-2021,191
06-11-2021,183
07-11-2021,180
08-11-2021,174
09-11-2021,183
10-11-2021,175
11-11-2021,167
12-11-2021,163
13-11-2021,154
14-11-2021,145
15-11-2021,132
16-11-2021,168
17-11-2021,180
18-11-2021,168
19-11-2021,185
22-11-2021,253
23-11-2021,190
24-11-2021,181
25-11-2021,188
26-11-2021,188
27-11-2021,207
28-11-2021,199
29-11-2021,182
30-11-2021,184
01-12-2021,177
02-12-2021,245
03-12-2021,111
04-12-2021,195
05-12-2021,123
06-12-2021,48
07-12-2021,105
08-12-2021,158
09-12-2021,160
10-12-2021,175
11-12-2021,215
12-12-2021,200
13-12-2021,221
14-12-2021,242
15-12-2021,321
16-12-2021,256
17-12-2021,214
18-12-2021,219
19-12-2021,188
20-12-2021,192
21-12-2021,223
22-12-2021,225
23-12-2021,265
24-12-2021,273
25-12-2021,237
26-12-2021,245
27-12-2021,234
28-12-2021,228
29-12-2021,223
30-12-2021,217
31-12-2021,192
01-01-2022,199
02-01-2022,194
01-07-2021,80
02-07-2021,87
03-07-2021,98
04-07-2021,91
05-07-2021,107
06-07-2021,140
07-07-2021,107
08-07-2021,84
09-07-2021,100
10-07-2021,117
11-07-2021,48
12-07-2021,37
13-07-2021,38
14-07-2021,39
15-07-2021,48
16-07-2021,52
17-07-2021,52
18-07-2021,52
19-07-2021,65
20-07-2021,105
21-07-2021,107
22-07-2021,47
23-07-2021,42
24-07-2021,57
25-07-2021,89
26-07-2021,102
27-07-2021,97
28-07-2021,80
29-07-2021,63
30-07-2021,58
04-08-2021,112
05-08-2021,109
06-08-2021,114
07-08-2021,97
08-08-2021,80
09-08-2021,95
10-08-2021,97
11-08-2021,111
12-08-2021,111
13-08-2021,109
14-08-2021,102
15-08-2021,65
16-08-2021,49
17-08-2021,52
