DATE,PM2.5,City, PM10, O3, NO2, SO2, CO
16-02-2023,225,Kolkata,,,,,
17-02-2023,178,Kolkata,,,,,
18-02-2023,167,Kolkata,,,,,
19-02-2023,161,Kolkata,,,,,
20-02-2023,147,Kolkata,,,,,
21-02-2023,152,Kolkata,,,,,
22-02-2023,159,Kolkata,,,,,
23-02-2023,149,Kolkata,,,,,
24-02-2023,162,Kolkata,,,,,
25-02-2023,175,Kolkata,,,,,
26-02-2023,193,Kolkata,,,,,
27-02-2023,170,Kolkata,,,,,
28-02-2023,169,Kolkata,,,,,
01-03-2023,162,Kolkata,,,,,
02-03-2023,166,Kolkata,,,,,
03-03-2023,166,Kolkata,,,,,
04-03-2023,171,Kolkata,,,,,
05-03-2023,172,Kolkata,,,,,
06-03-2023,163,Kolkata,,,,,
07-03-2023,153,Kolkata,,,,,
08-03-2023,166,Kolkata,,,,,
09-03-2023,167,Kolkata,,,,,
10-03-2023,181,Kolkata,,,,,
11-03-2023,160,Kolkata,,,,,
12-03-2023,189,Kolkata,,,,,
13-03-2023,189,Kolkata,,,,,
14-03-2023,176,Kolkata,,,,,
15-03-2023,167,Kolkata,,,,,
16-03-2023,159,Kolkata,,,,,
17-03-2023,164,Kolkata,,,,,
18-03-2023,195,Kolkata,,,,,
19-03-2023,96,Kolkata,,,,,
20-03-2023,70,Kolkata,,,,,
21-03-2023,104,Kolkata,,,,,
22-03-2023,143,Kolkata,,,,,
23-03-2023,118,Kolkata,,,,,
24-03-2023,135,Kolkata,,,,,
25-03-2023,99,Kolkata,,,,,
26-03-2023,99,Kolkata,,,,,
27-03-2023,145,Kolkata,,,,,
28-03-2023,144,Kolkata,,,,,
29-03-2023,101,Kolkata,,,,,
30-03-2023,94,Kolkata,,,,,
31-03-2023,121,Kolkata,,,,,
01-10-2022,134,Kolkata,,,,,
02-10-2022,87,Kolkata,,,,,
03-10-2022,65,Kolkata,,,,,
04-10-2022,40,Kolkata,,,,,
05-10-2022,34,Kolkata,,,,,
06-10-2022,36,Kolkata,,,,,
07-10-2022,53,Kolkata,,,,,
08-10-2022,66,Kolkata,,,,,
09-10-2022,43,Kolkata,,,,,
10-10-2022,42,Kolkata,,,,,
11-10-2022,49,Kolkata,,,,,
12-10-2022,56,Kolkata,,,,,
13-10-2022,90,Kolkata,,,,,
14-10-2022,119,Kolkata,,,,,
15-10-2022,132,Kolkata,,,,,
16-10-2022,137,Kolkata,,,,,
17-10-2022,151,Kolkata,,,,,
18-10-2022,153,Kolkata,,,,,
19-10-2022,159,Kolkata,,,,,
